Symbol,Name,Sector
1301.T,"KYOKUYO CO.,LTD.","Fishery, Agriculture and Forestry"
130A.T,Veritas In Silico Inc.,Pharmaceutical
131A.T,CCN Group Corporation,Information & Communication
132A.T,"IN Holdings Co.,LTD.",Land Transportation
1332.T,Nissui Corporation,"Fishery, Agriculture and Forestry"
1333.T,Maruha Nichiro Corporation,"Fishery, Agriculture and Forestry"
134A.T,"UPraise,Inc",Services
135A.T,"VRAIN Solution,Inc.",Information & Communication
136A.T,"Sankosyoji Co.,Ltd.",Construction
1375.T,"YUKIGUNI MAITAKE CO.,LTD.","Fishery, Agriculture and Forestry"
1376.T,"KANEKO SEEDS CO.,LTD.","Fishery, Agriculture and Forestry"
1377.T,SAKATA SEED CORPORATION,"Fishery, Agriculture and Forestry"
1379.T,HOKUTO CORPORATION,"Fishery, Agriculture and Forestry"
137A.T,"Cocolive,Inc.",Information & Communication
1380.T,"AKIKAWA FOODS & FARMS CO.,LTD.","Fishery, Agriculture and Forestry"
1381.T,"AXYZ CO.,Ltd.","Fishery, Agriculture and Forestry"
1382.T,"HOB Co.,Ltd.","Fishery, Agriculture and Forestry"
1383.T,"Berg Earth co.,ltd.","Fishery, Agriculture and Forestry"
1384.T,"Hokuryo Co.,Ltd.","Fishery, Agriculture and Forestry"
138A.T,"Hikari Food Service Co.,Ltd.",Retail Trade
139A.T,"Higashinihon Jisho Co.,Ltd.",Real Estate
1401.T,"mbs,inc.",Construction
1407.T,West Holdings Corporation,Construction
1414.T,"SHO-BOND Holdings Co.,Ltd.",Construction
1417.T,MIRAIT ONE Corporation,Construction
1418.T,"INTERLIFE HOLDINGS CO.,LTD.",Construction
1419.T,"Tama Home Co.,Ltd.",Construction
141A.T,Trial Holdings Inc.,Retail Trade
1420.T,Sanyo Homes Corporation,Construction
1429.T,"Nippon Aqua Co.,Ltd.",Construction
142A.T,"JINJIB Co.,Ltd.",Services
1430.T,First-corporation Inc.,Construction
1431.T,"Lib Work Co.,Ltd.",Construction
1432.T,"DORYOKU Co.,Ltd.",Construction
1433.T,"BESTERRA CO.,LTD",Construction
1434.T,"JESCO Holdings,Inc.",Construction
1435.T,robot home Inc.,Real Estate
1436.T,GreenEnergy & Company,Construction
1438.T,"Gifu landscape architect Co.,Ltd.",Construction
1439.T,YASUE CORPORATION,Construction
143A.T,"Ishin Co.,Ltd.",Services
1443.T,"Giken Holdings Co.,Ltd.",Construction
1444.T,"Nissou Co.,Ltd.",Construction
1445.T,"Hikari Holdings Co.,Ltd.",Construction
1446.T,"CANDEAL Co.,Ltd.",Construction
1447.T,"ITbook Holdings Co.,LTD.",Construction
144A.T,"ENERGY POWER CO.,Ltd.",Construction
1450.T,TANAKEN,Construction
1451.T,KHC Ltd.,Construction
1452.T,"YOKOHAMA WRIGHT Industries Co.,LTD",Construction
145A.T,L is B Corp.,Information & Communication
146A.T,Columbia Works Inc.,Real Estate
147A.T,"SORACOM,INC.",Information & Communication
148A.T,"HATCH WORK CO.,LTD.",Information & Communication
1491.T,"Chugai Mining Co.,Ltd.",Nonferrous Metals
149A.T,"Thinca Co.,Ltd.",Information & Communication
150A.T,"JSH Co.,Ltd.",Services
1514.T,"Sumiseki Holdings,Inc.",Mining
1515.T,"Nittetsu Mining Co.,Ltd.",Mining
1518.T,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Mining
151A.T,Dive Inc.,Services
152A.T,"OPTY CO.,LTD.",Wholesale Trade
153A.T,Caulis Inc.,Information & Communication
154A.T,GAIA Inc.,Other Financing Business
155A.T,"Information Strategy and Technology Co.,Ltd.",Information & Communication
156A.T,Material Group Inc.,Services
157A.T,Green Monster Inc.,Services
158A.T,"Exseli Co,Ltd.",Retail Trade
1605.T,INPEX CORPORATION,Mining
160A.T,"As Partners CO.,LTD.",Services
161A.T,"Mitsuba Co.,Ltd.",Services
